iso_code,country,year,co2,consumption_co2,cumulative_co2,population
LUX,Luxembourg,2019,9.752,22.435,745.511,615730
MDG,Madagascar,2019,4.05,5.307,93.09,26969306
MWI,Malawi,2019,1.588,3.338,49.306,18628749
MYS,Malaysia,2019,278.659,266.082,5799.356,31949789
MDV,Maldives,2019,1.794,?,23.115,530957
MLI,Mali,2019,3.688,?,59.929,19658023
MLT,Malta,2019,1.669,5.259,102.996,440377
MHL,Marshall Islands,2019,0.151,?,3.265,58791
MTQ,Martinique,2019,2.348,?,85.925,375557
MRT,Mauritania,2019,3.698,?,72.255,4525698
MUS,Mauritius,2019,4.378,5.657,111.777,1269670
MYT,Mayotte,2019,0.306,?,6.212,266153
MEX,Mexico,2019,435.512,455.343,19718.038,127575529
MDA,Moldova,2019,5.156,?,1374.072,4043258
MNG,Mongolia,2019,88.691,73.369,698.995,3225166
MNE,Montenegro,2019,2.645,?,101.311,627988
MSR,Montserrat,2019,0.029,?,1.593,4991
MAR,Morocco,2019,68.217,68.591,1673.059,36471766
MOZ,Mozambique,2019,7.288,16.886,170.521,30366043
MMR,Myanmar,2019,36.047,?,575.165,54045422
NAM,Namibia,2019,4.082,9.079,72.162,2494524
NRU,Nauru,2019,0.057,?,4.802,10764
NPL,Nepal,2019,16.967,22.144,148.926,28608715
NLD,Netherlands,2019,153.6,147.946,11601.872,17097123
NCL,New Caledonia,2019,8.706,?,148.315,282757
NZL,New Zealand,2019,37.495,40.089,1853.093,4783062
NIC,Nicaragua,2019,5.673,6.502,172.323,6545503
NER,Niger,2019,1.853,?,44.833,23310719
NGA,Nigeria,2019,130.104,130.371,3789.528,200963603
NIU,Niue,2019,0.011,?,0.279,1614
PRK,North Korea,2019,29.379,?,5020.157,25666158
MKD,North Macedonia,2019,7.975,?,628.949,2083458
NOR,Norway,2019,42.865,48.117,2591.111,5378859
OMN,Oman,2019,60.757,59.808,1188.948,4974992
PAK,Pakistan,2019,234.289,239.595,4927.534,216565317
PLW,Palau,2019,0.219,?,10.343,18001
PSE,Palestine,2019,2.986,?,56.539,4981422
PAN,Panama,2019,12.294,24.408,298.472,4246440
PNG,Papua New Guinea,2019,6.618,?,162.847,8776119
PRY,Paraguay,2019,8.525,11.942,170.345,7044639
PER,Peru,2019,54.978,63.127,1897.144,32510462
PHL,Philippines,2019,146.615,164.254,3254.256,108116622
POL,Poland,2019,319.521,283.262,27564.283,37887771
PRT,Portugal,2019,47.629,53.092,2574.208,10226178
QAT,Qatar,2019,115.037,76.696,1987.917,2832071
ROU,Romania,2019,74.846,76.693,8421.819,19364558
RUS,Russia,2019,1679.449,1432.703,113767.013,145872260
RWA,Rwanda,2019,1.187,1.187,27.652,12626938
SHN,Saint Helena,2019,0.011,?,0.37,6061
KNA,Saint Kitts and Nevis,2019,0.24,?,6.128,52834
LCA,Saint Lucia,2019,0.497,?,13.926,182795
SPM,Saint Pierre and Miquelon,2019,0.057,?,3.626,5821
VCT,Saint Vincent and the Grenadines,2019,0.236,?,6.758,110593
WSM,Samoa,2019,0.245,?,6.537,197093
STP,Sao Tome and Principe,2019,0.126,?,3.248,215048
SAU,Saudi Arabia,2019,622.413,645.395,15310.869,34268529
SEN,Senegal,2019,11.266,11.198,232.847,16296362
SRB,Serbia,2019,49.338,?,2691.321,8772228
SYC,Seychelles,2019,0.581,?,12.888,97741
SLE,Sierra Leone,2019,0.961,?,35.219,7813207
SGP,Singapore,2019,45.705,110.922,2111.524,5804343
SXM,Sint Maarten (Dutch part),2019,0.705,?,67.08,42389
SVK,Slovakia,2019,33.773,46.003,3839.151,5457012
SVN,Slovenia,2019,14.006,18.545,838.537,2078654
SLB,Solomon Islands,2019,0.298,?,10.136,669821
SOM,Somalia,2019,0.665,?,32.328,15442906
ZAF,South Africa,2019,475.923,336.704,20712.341,58558267
KOR,South Korea,2019,648.025,697.405,17738.102,51225321
SSD,South Sudan,2019,1.395,?,37.173,11062114
ESP,Spain,2019,251.498,272.496,14644.418,46736782
LKA,Sri Lanka,2019,22.825,32.354,479.174,21323734
SDN,Sudan,2019,22.031,?,427.295,42813237
SUR,Suriname,2019,2.52,?,112.979,581363
SWE,Sweden,2019,40.937,67.889,4949.321,10036391
CHE,Switzerland,2019,36.742,116.05,2990.486,8591361
SYR,Syria,2019,31.009,?,1837.402,17070132
TWN,Taiwan,2019,275.333,274.778,8773.561,23773881
TJK,Tajikistan,2019,8.634,?,480.166,9321023
TZA,Tanzania,2019,12.043,20.699,232.903,58005461
THA,Thailand,2019,271.625,281.12,7106.532,69625581
TLS,Timor,2019,0.525,?,6.017,1293120
TGO,Togo,2019,2.305,7.185,63.937,8082359
TON,Tonga,2019,0.144,?,4.24,104497
TTO,Trinidad and Tobago,2019,40.378,30.245,1534.052,1394969
TUN,Tunisia,2019,30.011,28.276,873.385,11694721
TUR,Turkey,2019,399.345,398.699,10446.994,83429607
TKM,Turkmenistan,2019,76.319,?,2359.428,5942094
TCA,Turks and Caicos Islands,2019,0.229,?,3.728,38194
TUV,Tuvalu,2019,0.008,?,0.271,11655
UGA,Uganda,2019,5.721,8.04,100.703,44269587
UKR,Ukraine,2019,222.579,214.503,30345.247,43993643
ARE,United Arab Emirates,2019,154.186,201.763,4545.209,9770526
GBR,United Kingdom,2019,369.01,520.696,77831.567,67530161
USA,United States,2019,5255.816,5625.784,412010.318,329064917
URY,Uruguay,2019,6.584,11.603,365.389,3461731
UZB,Uzbekistan,2019,114.199,?,6197.565,32981714
VUT,Vanuatu,2019,0.181,?,4.571,299882
VEN,Venezuela,2019,99.175,120.545,7770.082,28515829
VNM,Vietnam,2019,260.312,233.277,3722.969,96462108
OWID_WRL,World,2019,36702.503,36702.503,1661716.918,7713468203
YEM,Yemen,2019,10.02,?,614.886,29161922
ZMB,Zambia,2019,7.047,10.018,241.415,17861034
ZWE,Zimbabwe,2019,10.949,12.422,768.852,14645473
